host_response_time,host_neighbourhood,property_type,room_type,bed_type,cancellation_policy,zipcode,host_acceptance_rate,price,security_deposit,cleaning_fee,extra_people,reviews_per_month,host_response_rate,accommodates,bathrooms,bedrooms,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,require_guest_profile_picture,require_guest_phone_verification
within an hour,Noe Valley,Apartment,Private room,Real Bed,strict,94114,95,100,100,25,0,2.6,1,1,1,1,0,16,42,105,122,97,0,1
within an hour,Noe Valley,Apartment,Private room,Real Bed,strict,94114,95,100,100,25,0,0.54,1,1,1,1,0,0,25,292,11,93,0,1
within a day,Richmond District,House,Private room,Real Bed,moderate,94118,100,100,100,30,0,0.42,1,2,1,1,0,5,19,240,2,100,0,0
within a few hours,Richmond District,Apartment,Entire home/apt,Real Bed,moderate,94118,100,100,100,100,20,1.03,1,4,1,1,0,0,0,0,62,97,1,1
within an hour,Mountain View,Apartment,Shared room,Real Bed,strict,94103,68,100,100,50,100,0.55,0.99,4,2,1,15,45,75,350,8,100,1,1
within an hour,SoMa,Apartment,Private room,Real Bed,moderate,94158,100,100,100,25,0,0.93,1,2,1,1,0,0,0,0,6,100,0,0
within an hour,SoMa,Apartment,Private room,Airbed,moderate,94107,100,100,100,30,25,1.66,1,2,1,1,5,14,14,196,36,96,1,1
within a day,Bernal Heights,Apartment,Entire home/apt,Real Bed,flexible,94110,95,100,100,50,0,0.4,0.83,2,1,1,3,9,13,13,5,85,0,0
within a few hours,Nob Hill,Apartment,Private room,Real Bed,strict,94108,40,100,100,40,0,1,1,1,1,1,0,0,0,0,1,80,0,0
within a few hours,Outer Sunset,House,Private room,Real Bed,strict,94116,100,100,100,50,0,1,1,2,1,1,12,40,70,170,1,80,0,0
within a few hours,Western Addition/NOPA,Apartment,Private room,Real Bed,moderate,94115,44,100,100,30,10,1.97,0.89,2,1.5,1,0,19,49,49,29,97,0,0
within a few hours,Richmond District,Apartment,Private room,Real Bed,moderate,94121,74,101,100,10,10,0.82,1,2,1,1,0,0,0,0,19,98,0,0
within an hour,Mission Bay,Apartment,Private room,Real Bed,moderate,94158,100,103,100,50,0,2.22,1,2,1,1,7,7,8,61,6,87,0,0
within a few hours,Richmond District,Condominium,Entire home/apt,Real Bed,strict,94121,100,105,100,75,0,4.94,1,2,1,1,1,1,1,214,57,94,0,0
within a few hours,Outer Sunset,Apartment,Private room,Real Bed,strict,94122,72,105,100,15,15,1.58,0.91,2,1,1,30,60,61,61,2,90,0,0
within a few hours,Mission District,Apartment,Private room,Real Bed,strict,94103,53,109,100,80,0,0.99,0.92,2,1,1,1,1,1,260,4,95,0,0
within a few hours,Western Addition/NOPA,Apartment,Private room,Real Bed,flexible,94117,100,110,100,25,10,0.2,0.91,2,1,1,0,22,52,52,7,94,0,0
within an hour,Nob Hill,Apartment,Entire home/apt,Real Bed,moderate,94108,100,110,100,50,0,0.25,1,2,1,0,0,0,0,0,1,100,0,0
within a day,Mission District,Apartment,Entire home/apt,Real Bed,moderate,94110,100,112,100,75,55,1.97,1,2,1,1,0,0,0,0,13,88,0,0
within a few hours,Bayview,Apartment,Entire home/apt,Real Bed,moderate,94124,91,115,100,65,50,1.78,1,2,1,1,9,31,44,319,26,91,0,0
within an hour,Nob Hill,Apartment,Private room,Real Bed,strict,94158,92,115,100,60,0,0.15,0.93,2,1,1,0,0,0,0,5,84,0,0
within an hour,Richmond District,Apartment,Entire home/apt,Real Bed,strict,94121,98,117,100,50,0,4.39,1,2,1,0,1,10,22,290,6,97,0,0
within an hour,The Castro,Apartment,Private room,Real Bed,moderate,94114,100,119,100,50,30,1.38,1,3,1,1,13,35,65,96,49,98,0,0
within a few hours,Haight-Ashbury,Apartment,Private room,Real Bed,moderate,94117,80,120,100,55,0,5.08,0.97,2,1,1,2,14,44,44,146,93,0,0
within a few hours,Haight-Ashbury,Apartment,Private room,Real Bed,moderate,94117,80,120,100,55,100,4.52,0.97,2,1,1,4,16,46,46,122,91,0,0
within a day,Noe Valley,House,Private room,Real Bed,strict,94131,100,120,100,45,0,0.42,1,1,1,1,0,0,0,267,10,96,0,0
within an hour,Richmond District,House,Private room,Real Bed,flexible,94121,100,120,100,15,0,1,1,4,1,1,0,1,1,1,1,100,0,0
within an hour,Parkside,Apartment,Entire home/apt,Real Bed,strict,94116,100,120,100,85,30,0.33,1,2,1,1,0,8,17,279,2,100,0,0
within a few hours,Richmond District,House,Private room,Real Bed,strict,94118,100,120,100,40,0,0.42,1,2,1,1,10,14,14,77,6,100,1,1
within an hour,The Castro,Apartment,Entire home/apt,Real Bed,strict,94114,100,120,100,40,0,5.26,0.8,2,1,0,1,2,13,13,83,94,0,0
within a few hours,Bernal Heights,House,Entire home/apt,Real Bed,moderate,94110,97,120,100,20,15,5.34,1,4,1,2,0,4,8,244,26,90,0,0
within an hour,Nob Hill,Apartment,Entire home/apt,Real Bed,strict,94109,92,120,100,79,0,0.33,0.93,2,1,1,3,27,57,318,11,84,0,0
within a day,Outer Sunset,Apartment,Private room,Real Bed,strict,94122,78,120,100,75,0,1.19,0.7,2,1,1,9,12,41,41,29,98,0,0
within a few hours,Lower Haight,House,Private room,Real Bed,strict,94117,95,120,100,30,10,3.84,1,2,1,1,15,37,54,127,266,98,1,1
within a few hours,Lower Haight,Apartment,Private room,Real Bed,moderate,94117,100,120,100,100,60,2.15,0.9,2,1,1,8,12,42,225,57,95,0,0
within a few hours,Lower Haight,House,Private room,Real Bed,strict,94117,95,120,100,30,10,3.89,1,2,1,1,4,15,39,97,217,97,1,1
within an hour,Duboce Triangle,House,Private room,Real Bed,strict,94117,100,124,100,25,10,4.43,1,2,1.5,1,0,0,0,81,248,99,1,1
within a few hours,Downtown,Apartment,Entire home/apt,Real Bed,strict,94109,100,125,100,50,0,1,0.86,2,1,0,2,2,2,2,1,100,1,0
within an hour,Noe Valley,Condominium,Private room,Real Bed,moderate,94110,88,125,100,40,0,0.95,1,2,1.5,1,0,0,0,0,11,100,0,0
within an hour,Richmond District,House,Private room,Real Bed,strict,94118,100,125,100,30,15,3.14,1,2,1,1,11,26,56,331,87,97,0,0
within an hour,Cow Hollow,Apartment,Entire home/apt,Real Bed,flexible,94123,100,125,100,85,0,3.4,1,2,1,1,8,8,8,212,35,87,0,0
within an hour,Pacific Heights,Apartment,Private room,Real Bed,moderate,94115,100,125,100,90,0,0.92,1,2,1,1,7,9,9,9,10,92,0,0
within an hour,South Beach,Apartment,Private room,Real Bed,moderate,94107,100,125,100,30,30,4.62,1,1,1,1,5,16,40,40,14,91,0,0
within a day,SoMa,Apartment,Private room,Real Bed,moderate,94103,100,125,100,50,20,0.4,1,2,2,1,0,0,0,1,22,97,0,0
within a day,The Castro,House,Entire home/apt,Real Bed,moderate,94114,67,125,100,60,0,0.19,1,2,1,1,0,0,0,243,12,96,0,0
within a few hours,Western Addition/NOPA,Apartment,Private room,Real Bed,moderate,94115,70,125,100,25,25,0.31,0.9,2,2,1,0,0,0,1,8,98,0,0
within an hour,Richmond District,House,Private room,Real Bed,strict,94118,100,125,100,30,15,2.87,1,2,1,1,15,34,64,339,78,96,0,0
within an hour,Mission District,Apartment,Entire home/apt,Real Bed,moderate,94103,100,128,100,60,0,1.76,1,2,1,1,0,0,0,0,2,90,0,0
within an hour,SoMa,Apartment,Private room,Real Bed,flexible,94103,100,128,100,60,0,2.86,1,2,1,1,0,0,7,258,77,94,0,0
within an hour,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,moderate,94117,100,129,100,65,15,4.45,1,3,1,1,3,19,44,64,192,94,0,0
within a day,Inner Sunset,Apartment,Entire home/apt,Real Bed,flexible,94122,100,129,100,15,0,4.16,1,2,1,1,1,2,6,6,165,98,0,0
within an hour,The Castro,Apartment,Entire home/apt,Real Bed,moderate,94114,100,129,100,75,30,1.96,1,3,1,1,3,3,8,190,68,96,0,0
within a few hours,Nob Hill,Apartment,Private room,Real Bed,moderate,94109,87,129,100,40,0,2.32,1,1,1,1,19,40,70,77,11,98,0,0
within a day,Nob Hill,Apartment,Entire home/apt,Real Bed,strict,94109,64,129,100,69,0,3.78,1,2,1,0,2,6,7,7,123,93,0,0
within a few hours,Sunnyside,House,Entire home/apt,Real Bed,moderate,94112,100,130,100,60,10,3.75,1,4,1,2,0,1,4,50,123,99,0,0
within a few hours,Richmond District,Apartment,Entire home/apt,Real Bed,strict,94121,93,130,100,80,0,4,1,4,1,1,4,25,25,259,4,95,0,0
within a few hours,Mission District,House,Private room,Real Bed,strict,94110,87,130,100,45,0,2.99,1,2,1.5,1,4,15,32,303,47,97,0,0
within an hour,SoMa,Apartment,Entire home/apt,Real Bed,strict,94107,67,130,100,30,5,2.04,1,4,1,0,4,4,4,4,10,88,0,0
within an hour,Haight-Ashbury,Apartment,Private room,Real Bed,moderate,94117,100,130,100,19,25,6.34,1,2,1,1,1,24,54,54,48,98,0,0
within a few hours,Bernal Heights,Apartment,Entire home/apt,Real Bed,moderate,94110,100,130,100,80,15,3.06,1,3,1,1,6,17,33,305,120,93,1,1
within a few hours,Western Addition/NOPA,House,Private room,Real Bed,moderate,94115,97,130,100,20,0,2.21,1,2,1,1,6,19,36,123,71,97,1,1
within an hour,Hayes Valley,Apartment,Private room,Real Bed,moderate,94102,53,130,100,80,10,1.55,1,2,1.5,1,3,26,56,324,56,97,0,0
within a few hours,Western Addition,House,Private room,Real Bed,moderate,94115,93,131,100,25,25,0.87,1,2,1,1,20,44,74,349,41,97,0,0
within an hour,Hayes Valley,Apartment,Private room,Real Bed,strict,94102,88,134,100,42,25,4.46,1,4,1,1,9,17,29,297,25,96,0,0
within an hour,Lakeshore,House,Private room,Real Bed,moderate,94132,100,135,100,80,0,1.99,1,4,1.5,1,5,23,24,296,9,70,0,0
within a day,Richmond District,House,Private room,Real Bed,moderate,94118,100,135,100,35,0,3.88,1,2,1,1,5,19,30,292,116,97,0,0
within a few hours,Outer Sunset,House,Private room,Real Bed,strict,94116,91,135,100,20,20,3.24,1,3,1,1,3,23,50,50,16,96,0,0
within an hour,Outer Sunset,House,Private room,Real Bed,strict,94122,100,135,100,20,20,4.36,1,3,1,1,12,31,61,151,114,93,0,0
within a day,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,strict,94109,52,135,100,85,0,0.88,0.6,2,1,1,0,0,6,201,2,100,0,0
within a few hours,Downtown,Apartment,Entire home/apt,Real Bed,strict,94109,100,136,100,50,0,3.71,0.9,2,1,1,7,13,18,88,152,89,0,0
within a few hours,Downtown,Apartment,Entire home/apt,Real Bed,flexible,94109,100,139,100,55,0,1.54,1,2,1,1,0,10,10,10,2,100,0,0
within an hour,Downtown,Apartment,Entire home/apt,Real Bed,strict,94109,100,139,100,80,50,0.44,1,2,1,1,16,42,71,167,21,71,1,1
within an hour,Mission District,House,Private room,Real Bed,strict,94110,100,139,100,50,0,4.38,1,2,1,1,13,37,67,338,7,97,0,0
within an hour,Mission District,Apartment,Private room,Real Bed,strict,94110,100,139,100,15,0,3.86,1,2,1,1,5,23,53,328,38,94,0,0
within a few hours,Forest Hill,House,Entire home/apt,Real Bed,moderate,94127,100,139,100,65,20,6.13,1,2,1,1,0,0,0,243,83,99,0,0
within an hour,Downtown,Apartment,Entire home/apt,Real Bed,strict,94109,83,140,100,57,15,2.61,1,2,1,0,1,1,1,1,8,100,0,0
within an hour,Portola,House,Entire home/apt,Real Bed,moderate,94134,100,140,100,80,15,2.65,1,2,1,1,1,1,30,305,40,95,0,0
within a few hours,Oceanview,House,Private room,Real Bed,moderate,94132,100,140,100,15,20,1,1,4,1.5,1,12,40,70,345,1,100,0,0
within a few hours,Mission District,Apartment,Entire home/apt,Real Bed,moderate,94103,100,140,100,54,0,1.03,1,2,1,1,0,0,0,0,22,96,0,0
within an hour,Nob Hill,Apartment,Entire home/apt,Real Bed,strict,94110,92,140,100,60,0,0.47,0.93,2,1,1,0,0,0,256,16,91,0,0
within a few hours,Richmond District,House,Private room,Real Bed,moderate,94118,100,140,100,70,0,3.14,1,3,1,1,5,24,37,96,126,95,1,1
within a day,Richmond District,Apartment,Entire home/apt,Real Bed,strict,94118,43,140,100,100,0,1.17,0.7,2,1,1,0,0,0,243,44,94,0,0
within an hour,Twin Peaks,Apartment,Entire home/apt,Real Bed,moderate,94131,100,140,100,60,0,1.78,1,3,1,1,13,13,15,103,69,92,0,0
within a few hours,Haight-Ashbury,Apartment,Entire home/apt,Real Bed,moderate,94117,100,143,100,45,35,2.06,0.89,2,1,0,0,3,3,3,11,96,0,0
within a few hours,Alamo Square,Apartment,Private room,Futon,strict,94117,75,143,100,40,0,1.32,1,2,1,1,0,0,0,245,6,100,0,0
within an hour,Nob Hill,Apartment,Entire home/apt,Real Bed,strict,94131,92,144,100,79,0,0.66,0.93,2,2,1,9,12,29,29,17,91,0,0
within an hour,Lower Haight,Apartment,Private room,Real Bed,flexible,94117,100,145,100,25,0,1.27,1,2,1,1,0,0,0,0,30,94,0,0
within an hour,North Beach,House,Entire home/apt,Real Bed,strict,94133,100,145,100,45,30,4.84,0.96,2,1,1,3,7,14,262,281,95,1,1
within a few hours,Noe Valley,Apartment,Entire home/apt,Real Bed,moderate,94131,100,145,100,75,0,2.09,1,2,1,1,0,9,16,262,142,97,0,0
within an hour,Noe Valley,Apartment,Entire home/apt,Real Bed,strict,94114,100,145,100,69,0,2.41,1,2,1,1,8,12,36,119,25,86,0,0
within an hour,Excelsior,Apartment,Entire home/apt,Real Bed,moderate,94112,95,145,100,80,0,2.71,1,5,1,2,3,6,20,158,13,92,0,0
within an hour,Mission District,Apartment,Entire home/apt,Real Bed,moderate,94110,83,145,100,15,10,0.83,1,3,1,1,1,1,1,1,7,100,0,0
within a few hours,Mission District,House,Entire home/apt,Real Bed,moderate,94110,100,145,100,60,15,2.41,1,2,1,0,15,42,61,151,55,96,0,0
within an hour,Nob Hill,House,Private room,Real Bed,moderate,94109,100,145,100,55,0,1,1,2,2.5,1,29,59,89,179,1,80,0,0
within an hour,Nob Hill,House,Private room,Real Bed,moderate,94109,100,145,100,55,0,1,1,2,2.5,1,24,45,75,165,1,100,0,0
within an hour,Nob Hill,House,Private room,Real Bed,moderate,94109,100,145,100,55,0,1,1,2,2.5,1,16,46,76,76,1,100,0,0
within a day,Mission District,Apartment,Entire home/apt,Real Bed,moderate,94103,80,148,100,80,0,0.76,1,2,1,1,0,0,6,6,11,100,0,0
within an hour,Nob Hill,Apartment,Entire home/apt,Real Bed,strict,94103,92,149,100,60,0,0.13,0.93,2,1,1,0,0,0,30,4,95,0,0
within a few hours,Cole Valley,Apartment,Private room,Real Bed,flexible,94117,88,150,100,25,0,1.74,1,2,1,1,12,20,50,325,7,100,0,0
within an hour,Tenderloin,Apartment,Entire home/apt,Real Bed,strict,94109,100,150,100,80,0,0.41,1,3,1,1,0,0,0,0,2,90,0,0
within a few hours,Noe Valley,House,Private room,Real Bed,moderate,94114,100,150,100,25,0,0.28,1,2,1,1,29,55,85,344,7,94,0,0
within an hour,Richmond District,Apartment,Entire home/apt,Real Bed,strict,94121,100,150,100,50,0,2.12,1,2,1,1,15,42,72,343,56,97,0,0
a few days or more,Parkside,House,Private room,Real Bed,flexible,94116,83,150,100,50,50,1.02,0.14,2,1,1,27,57,87,362,12,83,0,0
