host_response_time,host_neighbourhood,property_type,room_type,bed_type,cancellation_policy,zipcode,host_acceptance_rate,price,security_deposit,cleaning_fee,extra_people,reviews_per_month,host_response_rate,accommodates,bathrooms,bedrooms,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,require_guest_profile_picture,require_guest_phone_verification
within an hour,Richmond District,Condominium,Entire home/apt,Real Bed,strict,94121,1,400,0,200,0,0.88,1,6,2,3,8,31,61,152,3,80,0,0
within an hour,Richmond District,House,Private room,Futon,strict,94121,1,99,0,20,20,1.85,1,4,1,1,2,7,8,187,23,91,0,0
within an hour,Richmond District,Apartment,Entire home/apt,Real Bed,strict,94121,1,195,250,150,0,2.45,1,6,2.5,3,2,2,9,23,4,100,0,0
within an hour,Richmond District,House,Entire home/apt,Real Bed,flexible,94121,1,150,200,0,10,6.81,1,2,1,1,1,4,8,259,236,98,0,0
within an hour,Richmond District,Apartment,Private room,Real Bed,flexible,94121,1,79,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0
within a day,Richmond District,Apartment,Entire home/apt,Real Bed,strict,94121,0.73,192,250,65,15,3.55,0.8,4,1,1,0,12,42,128,80,96,0,0
within an hour,Pacifica,Apartment,Entire home/apt,Real Bed,super_strict_30,94121,0.66,325,0,205,50,0.09,0.98,4,2,3,30,60,90,365,5,90,0,0
within a few hours,Richmond District,Apartment,Private room,Real Bed,moderate,94121,1,85,100,9,10,1.22,1,2,1,1,0,4,4,4,36,96,0,0
within an hour,Haight-Ashbury,Apartment,Private room,Real Bed,flexible,94117,1,120,0,100,0,0.25,1,1,1,1,0,0,0,0,1,100,0,0
within an hour,Haight-Ashbury,Apartment,Private room,Real Bed,strict,94117,0.88,120,0,20,0,1,1,2,1,1,3,4,4,4,1,100,0,0
within an hour,Cole Valley,Apartment,Private room,Real Bed,flexible,94117,0.9,116,125,20,30,1.98,1,1,1.5,1,14,44,74,349,58,94,0,0
within an hour,South Lake Tahoe,House,Entire home/apt,Real Bed,super_strict_60,94117,0.77,258,0,158,0,0.06,0.98,2,1,1,0,4,17,217,1,20,0,0
within an hour,Western Addition/NOPA,Apartment,Private room,Real Bed,flexible,94117,1,150,0,0,30,9.41,1,3,1,1,0,0,0,28,16,100,0,0
within an hour,Western Addition/NOPA,Apartment,Private room,Pull-out Sofa,strict,94117,1,80,250,100,0,0.73,1,1,1.5,1,0,12,42,317,8,98,0,0
within a few hours,Western Addition/NOPA,Apartment,Entire home/apt,Real Bed,moderate,94117,0.95,250,250,75,0,2.83,0.9,5,1,2,2,6,32,297,72,85,0,0
